Model,Accuracy,Precision,Recall,F1,Training Time
Linear SVM,0.8031088082901554,0.7807285446104822,0.8031088082901554,0.7858278959958809,0.1649608612060547
KNN,0.7849740932642487,0.7721243311263584,0.7849740932642487,0.7669790035779275,0.0005519390106201172
Logistic Regression,0.7694300518134715,0.7597402054621462,0.7694300518134715,0.7458760009298232,0.5741209983825684
Random Forest,0.7305699481865285,0.6893016193680198,0.7305699481865285,0.7025769196730158,0.4321250915527344
Naive Bayes,0.6502590673575129,0.6587419075395269,0.6502590673575129,0.6111853973020653,0.005068063735961914
Decision Tree,0.5129533678756477,0.5106012812088443,0.5129533678756477,0.5093366513442386,0.5620882511138916
